"Total signals"	"Cell type"
"yellow"	0	""
"lightcyan"	0	""
"salmon"	0	""
"greenyellow"	0	""
"paleturquoise"	0	""
"grey"	0	""
"lightpink4"	0	""
"antiquewhite4"	0	""
"palevioletred3"	0	""
"darkseagreen4"	1	" Mural"
"darkorange"	0	""
"darkorange2"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"thistle2"	0	""
"skyblue3"	0	""
"plum2"	0	""
"sienna3"	0	""
"darkolivegreen"	0	""
"black"	0	""
"darkslateblue"	1	" Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkred"	0	""
"brown"	0	""
"royalblue"	0	""
"mediumpurple3"	0	""
"midnightblue"	8	" Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Cytotoxiccells Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Tcells"
"saddlebrown"	0	""
"salmon4"	0	""
"darkmagenta"	0	""
"darkgreen"	0	""
"pink"	0	""
"navajowhite2"	0	""
"lightsteelblue1"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"grey60"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"blue"	0	""
"lightcyan1"	0	""
"bisque4"	1	" Ependymal"
"darkturquoise"	0	""
"cyan"	0	""
"green"	0	""
"coral1"	0	""
"magenta"	0	""
"yellowgreen"	4	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial Hippocampus_MicrogliaDeactivation_Neuroexpresso"
"darkgrey"	0	""
"floralwhite"	0	""
"orange"	0	""
"plum1"	2	" Dopaminergic_Neuron Dopaminergic"
"ivory"	0	""
"brown4"	1	" Microglia"
"honeydew1"	1	" Ependymal"
"red"	0	""
"maroon"	0	""
"lightgreen"	1	" Cortex_Endothelial_Neuroexpresso"
"orangered4"	0	""
"mediumorchid"	0	""
"coral2"	1	" DAMANIS_MICROGLIA"
"lavenderblush3"	0	""
"skyblue"	2	" DARMANIS_FETAL1 Th2cells"
