"Total signals"	"Cell type"
"grey60"	0	""
"purple"	0	""
"violet"	0	""
"midnightblue"	15	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Cytotoxiccells DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso iDC Mastcells Microglia Tcells"
"darkred"	2	" Dopaminergic_Neuron Dopaminergic"
"darkorange"	3	" In4 Macrophages Microglia"
"darkolivegreen"	0	""
"darkmagenta"	0	""
"sienna3"	0	""
"lightgreen"	0	""
"lightcyan"	0	""
"black"	1	" Astrocyte"
"salmon"	0	""
"brown"	0	""
"skyblue"	2	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"pink"	0	""
"steelblue"	1	" Ependymal"
"cyan"	11	" Astrocyte Dopaminergic_Neuron_SN Dopaminergic_Neuron Dopaminergic Ex1 Interneuron Neuron_Interneuton Neuron_Pyramidal_S1 Pyramidal_S1 S1_Pyramidal S1.Pyramidal"
"magenta"	0	""
"blue"	0	""
"saddlebrown"	0	""
"green"	0	""
"turquoise"	0	""
"white"	3	" Cortex_Endothelial_Neuroexpresso Endothelial Mural"
"darkturquoise"	0	""
"lightyellow"	2	" Dopaminergic_Neuron_SN Dopaminergic"
"darkgrey"	1	" Astrocyte"
"orange"	0	""
"tan"	2	" DARMANIS_FETAL1 Th2cells"
"darkgreen"	0	""
"royalblue"	0	""
"paleturquoise"	0	""
