"Total signals"	"Cell type"
"salmon4"	0	""
"blue"	0	""
"grey60"	0	""
"lightcyan"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"skyblue"	0	""
"mediumpurple3"	0	""
"magenta"	0	""
"royalblue"	0	""
"honeydew1"	0	""
"lightcyan1"	0	""
"salmon"	0	""
"antiquewhite4"	0	""
"darkslateblue"	0	""
"white"	0	""
"thistle2"	0	""
"tan"	0	""
"ivory"	0	""
"midnightblue"	1	" Mural"
"sienna3"	3	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkgrey"	0	""
"plum"	0	""
"maroon"	1	" Ependymal"
"thistle1"	0	""
"lightsteelblue1"	3	" Cytotoxiccells Hippocampus_MicrogliaDeactivation_Neuroexpresso Tcells"
"greenyellow"	0	""
"lightyellow"	0	""
"steelblue"	1	" Astrocyte"
"darkred"	0	""
"floralwhite"	2	" Dopaminergic_Neuron Dopaminergic"
"purple"	0	""
"skyblue2"	0	""
"coral2"	1	" Astrocyte"
"orange"	0	""
"bisque4"	0	""
"darkorange2"	0	""
"plum2"	0	""
"plum1"	0	""
"lightgreen"	0	""
"black"	0	""
"darkturquoise"	0	""
"saddlebrown"	12	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso iDC Microglia"
"violet"	1	" DARMANIS_NEUROND"
"darkmagenta"	0	""
"paleturquoise"	0	""
"darkgreen"	0	""
"brown"	0	""
"darkolivegreen"	0	""
"darkseagreen4"	0	""
"orangered4"	0	""
"red"	0	""
"yellow4"	0	""
"pink"	3	" Cortex_OligoPrecursors_Neuroexpresso DARMANIS_FETAL1 Th2cells"
"darkorange"	0	""
"brown4"	9	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"mediumorchid"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"coral1"	0	""
"yellow"	0	""
"cyan"	0	""
"lightpink4"	0	""
"lavenderblush3"	0	""
"navajowhite2"	0	""
"green"	0	""
"skyblue1"	1	" Mastcells"
