"Total signals"	"Cell type"
"darkorange"	0	""
"honeydew1"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkslateblue"	0	""
"salmon"	0	""
"darkred"	0	""
"darkorange2"	0	""
"lavenderblush3"	0	""
"maroon"	0	""
"greenyellow"	2	" Cortex_OligoPrecursors_Neuroexpresso DARMANIS_FETAL1"
"white"	0	""
"skyblue"	0	""
"plum1"	1	" Neutrophils"
"brown"	0	""
"magenta"	0	""
"steelblue"	0	""
"lightcyan"	0	""
"pink"	0	""
"navajowhite2"	0	""
"lightyellow"	0	""
"yellowgreen"	0	""
"tan"	0	""
"yellow4"	0	""
"bisque4"	0	""
"lightgreen"	4	" Dopaminergic_Neuron Dopaminergic Interneuron Neuron_Interneuton"
"skyblue3"	0	""
"salmon4"	0	""
"turquoise"	0	""
"grey60"	0	""
"mediumorchid"	0	""
"red"	3	" Cortex_Endothelial_Neuroexpresso DARMANIS_ENDOTHELIAL Endothelial"
"coral1"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"purple"	0	""
"darkolivegreen"	0	""
"skyblue1"	0	""
"mediumpurple3"	0	""
"saddlebrown"	0	""
"darkgreen"	0	""
"royalblue"	2	" Dopaminergic_Neuron Dopaminergic"
"skyblue2"	0	""
"midnightblue"	1	" Mural"
"darkmagenta"	0	""
"brown4"	0	""
"black"	0	""
"sienna3"	0	""
"blue"	0	""
"floralwhite"	0	""
"ivory"	0	""
"antiquewhite4"	0	""
"lightpink4"	7	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"plum"	1	" Tcells"
"lightsteelblue1"	0	""
"lightcyan1"	0	""
"darkseagreen4"	0	""
"orangered4"	0	""
"darkturquoise"	0	""
"cyan"	0	""
"palevioletred3"	0	""
"violet"	0	""
"thistle1"	10	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"coral2"	0	""
"paleturquoise"	0	""
"darkgrey"	0	""
