"Total signals"	"Cell type"
"green"	0	""
"orange"	0	""
"thistle3"	6	" Cerebellum_Microglia_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"navajowhite1"	0	""
"darkmagenta"	1	" Bcells"
"darkolivegreen4"	0	""
"grey60"	0	""
"maroon"	1	" Neutrophils"
"lavenderblush3"	0	""
"plum2"	2	" Ex1 Mural"
"orangered4"	0	""
"blue2"	0	""
"mediumpurple2"	0	""
"skyblue2"	0	""
"steelblue"	0	""
"greenyellow"	0	""
"plum1"	0	""
"honeydew1"	0	""
"lightcoral"	0	""
"darkturquoise"	3	" Astrocyte Cortex_Endothelial_Neuroexpresso Endothelial"
"yellow4"	0	""
"darkslateblue"	0	""
"lightsteelblue"	0	""
"pink"	0	""
"salmon4"	0	""
"bisque4"	0	""
"indianred4"	0	""
"skyblue"	0	""
"midnightblue"	0	""
"brown2"	0	""
"lightgreen"	0	""
"brown4"	1	" Mural"
"lightcyan"	0	""
"saddlebrown"	0	""
"thistle1"	0	""
"yellowgreen"	0	""
"coral2"	1	" Cytotoxiccells"
"darkgrey"	0	""
"darkgreen"	0	""
"skyblue1"	0	""
"plum3"	0	""
"palevioletred3"	0	""
"darkviolet"	0	""
"sienna3"	2	" Cortex_MicrogliaDeactivation_Neuroexpresso Microglia"
"firebrick4"	1	" Mural"
"floralwhite"	0	""
"mediumorchid"	0	""
"darkolivegreen"	0	""
"white"	0	""
"paleturquoise"	0	""
"salmon"	0	""
"magenta4"	0	""
"darkred"	0	""
"black"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"darkorange"	2	" Dopaminergic_Neuron Dopaminergic"
"darkorange2"	0	""
"thistle2"	0	""
"lightcyan1"	3	" Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso Neutrophils"
"skyblue3"	1	" Tcm"
"antiquewhite4"	0	""
"lightsteelblue1"	4	" Cerebellum_Microglia_Neuroexpresso Cortex_Microglia_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"palevioletred2"	1	" Hippocampus_MicrogliaActivation_Neuroexpresso"
"thistle"	0	""
"salmon2"	0	""
"plum"	0	""
"brown"	0	""
"ivory"	0	""
"navajowhite2"	5	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Microglia"
"purple"	2	" DARMANIS_FETAL1 Th2cells"
"orangered3"	0	""
"mediumpurple3"	1	" Tcells"
