"Total signals"	"Cell type"
"midnightblue"	0	""
"mediumpurple3"	10	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Neutrophils"
"plum2"	0	""
"grey"	0	""
"skyblue"	0	""
"tan"	0	""
"brown4"	0	""
"salmon"	0	""
"grey60"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"navajowhite2"	0	""
"yellowgreen"	1	" Mural"
"lightyellow"	1	" Astrocyte"
"lightcyan1"	1	" Cortex_Endothelial_Neuroexpresso"
"paleturquoise"	0	""
"orange"	0	""
"pink"	2	" Cortex_OligoPrecursors_Neuroexpresso DARMANIS_FETAL1"
"yellow"	0	""
"darkslateblue"	0	""
"darkorange"	1	" Bcells"
"darkturquoise"	3	" Bcells Cytotoxiccells Tcells"
"darkred"	0	""
"darkgrey"	0	""
"darkmagenta"	0	""
"palevioletred3"	0	""
"lightcyan"	0	""
"blue"	1	" Mural"
"salmon4"	0	""
"darkgreen"	0	""
"cyan"	0	""
"orangered4"	0	""
"brown"	0	""
"darkorange2"	11	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"thistle1"	4	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"violet"	2	" Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"ivory"	0	""
"lightgreen"	0	""
"floralwhite"	1	" Cerebellum_MicrogliaActivation_Neuroexpresso"
"plum1"	0	""
"sienna3"	0	""
"skyblue3"	0	""
"lightsteelblue1"	8	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia"
"bisque4"	8	" DARMANIS_NEUROND Dopaminergic_Neuron_SN Dopaminergic_Neuron Dopaminergic GABASST_HIPPD_Neuroexpresso Hippocampus_GabaSSTRein_Neuroexpresso Interneuron Neuron_Interneuton"
