"Total signals"	"Cell type"
"grey60"	0	""
"blue"	14	" Bcells Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaActivation_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Cytotoxiccells DAMANIS_MICROGLIA Hippocampus_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Hyppocampus_Microglia_Neuroexpresso Microglia Tcells"
"brown"	0	""
"darkturquoise"	0	""
"cyan"	0	""
"lightgreen"	0	""
"darkred"	0	""
"sienna3"	0	""
"darkorange"	0	""
"yellow"	4	" Dopaminergic_Neuron_SN Dopaminergic_Neuron Dopaminergic Oligodendrocyte"
"green"	0	""
"violet"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"darkgrey"	6	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso DAMANIS_MICROGLIA DARMANIS_FETAL1 Hippocampus_MicrogliaActivation_Neuroexpresso Microglia"
"pink"	5	" Cortex_Endothelial_Neuroexpresso Cortex_OligoPrecursors_Neuroexpresso Endothelial Ex1 Mural"
"lightcyan"	1	" Ependymal"
"lightyellow"	0	""
"salmon"	4	" Dopaminergic_Neuron_VTA Dopaminergic Ex8 Mural"
"tan"	0	""
"saddlebrown"	2	" Cerebellum_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"darkmagenta"	0	""
"white"	4	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Endothelial Hippocampus_MicrogliaActivation_Neuroexpresso"
"orange"	0	""
"black"	0	""
"magenta"	0	""
"purple"	0	""
"midnightblue"	0	""
"royalblue"	0	""
"skyblue"	0	""
"darkolivegreen"	1	" DARMANIS_NEUROND"
"turquoise"	0	""
"paleturquoise"	0	""
"yellowgreen"	0	""
