"Total signals"	"Cell type"
"coral2"	0	""
"darkslateblue"	0	""
"midnightblue"	0	""
"lightsteelblue1"	0	""
"lightcyan"	0	""
"lightcyan1"	0	""
"brown"	0	""
"greenyellow"	0	""
"darkturquoise"	2	" Dopaminergic_Neuron Dopaminergic"
"thistle2"	0	""
"skyblue2"	0	""
"darkgrey"	2	" Cytotoxiccells Tcells"
"violet"	0	""
"magenta"	0	""
"blue"	0	""
"darkorange2"	0	""
"black"	1	" Mural"
"mediumpurple2"	1	" Mural"
"lightyellow"	0	""
"salmon4"	3	" Cerebellum_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Hippocampus_MicrogliaActivation_Neuroexpresso"
"yellow"	0	""
"coral1"	0	""
"palevioletred3"	0	""
"orange"	0	""
"ivory"	0	""
"thistle1"	0	""
"antiquewhite4"	0	""
"grey60"	0	""
"paleturquoise"	0	""
"darkmagenta"	0	""
"lavenderblush3"	0	""
"plum"	0	""
"plum2"	8	" Cerebellum_Microglia_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaActivation_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso DAMANIS_MICROGLIA Hyppocampus_Microglia_Neuroexpresso Macrophages Microglia"
"skyblue"	0	""
"orangered3"	2	" Cortex_Endothelial_Neuroexpresso Endothelial"
"bisque4"	0	""
"yellow4"	1	" Astrocyte"
"orangered4"	0	""
"pink"	0	""
"darkorange"	0	""
"lightpink4"	0	""
"darkred"	0	""
"honeydew1"	0	""
"darkseagreen4"	0	""
"purple"	1	" DARMANIS_FETAL1"
"lightgreen"	1	" Cortex_MicrogliaDeactivation_Neuroexpresso"
"turquoise"	0	""
"darkolivegreen"	0	""
"darkgreen"	0	""
"mediumpurple3"	6	" Cerebellum_Microglia_Neuroexpresso Cerebellum_MicrogliaDeactivation_Neuroexpresso Cortex_Microglia_Neuroexpresso Cortex_MicrogliaDeactivation_Neuroexpresso Hippocampus_MicrogliaDeactivation_Neuroexpresso Microglia"
"skyblue3"	0	""
"lightsteelblue"	0	""
"salmon"	0	""
"navajowhite2"	0	""
"floralwhite"	0	""
"tan"	0	""
"brown4"	1	" Bcells"
