"ensembl_gene_id"	"external_gene_name"	"gene_biotype"
"1"	"ENSG00000000938"	"FGR"	"protein_coding"
"2"	"ENSG00000001460"	"STPG1"	"protein_coding"
"3"	"ENSG00000001461"	"NIPAL3"	"protein_coding"
"4"	"ENSG00000004455"	"AK2"	"protein_coding"
"5"	"ENSG00000004487"	"KDM1A"	"protein_coding"
"6"	"ENSG00000007923"	"DNAJC11"	"protein_coding"
"7"	"ENSG00000008128"	"CDK11A"	"protein_coding"
"8"	"ENSG00000008130"	"NADK"	"protein_coding"
"9"	"ENSG00000009709"	"PAX7"	"protein_coding"
"10"	"ENSG00000009724"	"MASP2"	"protein_coding"
"11"	"ENSG00000009780"	"FAM76A"	"protein_coding"
"12"	"ENSG00000011007"	"ELOA"	"protein_coding"
"13"	"ENSG00000011009"	"LYPLA2"	"protein_coding"
"14"	"ENSG00000011021"	"CLCN6"	"protein_coding"
"15"	"ENSG00000020633"	"RUNX3"	"protein_coding"
"16"	"ENSG00000025800"	"KPNA6"	"protein_coding"
"17"	"ENSG00000028137"	"TNFRSF1B"	"protein_coding"
"18"	"ENSG00000037637"	"FBXO42"	"protein_coding"
"19"	"ENSG00000040487"	"PQLC2"	"protein_coding"
"20"	"ENSG00000041988"	"THAP3"	"protein_coding"
"21"	"ENSG00000048707"	"VPS13D"	"protein_coding"
"22"	"ENSG00000049239"	"H6PD"	"protein_coding"
"23"	"ENSG00000049245"	"VAMP3"	"protein_coding"
"24"	"ENSG00000049246"	"PER3"	"protein_coding"
"25"	"ENSG00000053371"	"AKR7A2"	"protein_coding"
"26"	"ENSG00000053372"	"MRTO4"	"protein_coding"
"27"	"ENSG00000054523"	"KIF1B"	"protein_coding"
"28"	"ENSG00000055070"	"SZRD1"	"protein_coding"
"29"	"ENSG00000057757"	"PITHD1"	"protein_coding"
"30"	"ENSG00000058453"	"CROCC"	"protein_coding"
"31"	"ENSG00000060642"	"PIGV"	"protein_coding"
"32"	"ENSG00000060656"	"PTPRU"	"protein_coding"
"33"	"ENSG00000060688"	"SNRNP40"	"protein_coding"
"34"	"ENSG00000065526"	"SPEN"	"protein_coding"
"35"	"ENSG00000067606"	"PRKCZ"	"protein_coding"
"36"	"ENSG00000069424"	"KCNAB2"	"protein_coding"
"37"	"ENSG00000070831"	"CDC42"	"protein_coding"
"38"	"ENSG00000070886"	"EPHA8"	"protein_coding"
"39"	"ENSG00000074800"	"ENO1"	"protein_coding"
"40"	"ENSG00000074964"	"ARHGEF10L"	"protein_coding"
"41"	"ENSG00000075151"	"EIF4G3"	"protein_coding"
"42"	"ENSG00000076864"	"RAP1GAP"	"protein_coding"
"43"	"ENSG00000077549"	"CAPZB"	"protein_coding"
"44"	"ENSG00000078369"	"GNB1"	"protein_coding"
"45"	"ENSG00000078808"	"SDF4"	"protein_coding"
"46"	"ENSG00000078900"	"TP73"	"protein_coding"
"47"	"ENSG00000080947"	"CROCCP3"	"transcribed_unprocessed_pseudogene"
"48"	"ENSG00000083444"	"PLOD1"	"protein_coding"
"49"	"ENSG00000084623"	"EIF3I"	"protein_coding"
"50"	"ENSG00000084628"	"NKAIN1"	"protein_coding"
"51"	"ENSG00000084636"	"COL16A1"	"protein_coding"
"52"	"ENSG00000084652"	"TXLNA"	"protein_coding"
"53"	"ENSG00000088280"	"ASAP3"	"protein_coding"
"54"	"ENSG00000090020"	"SLC9A1"	"protein_coding"
"55"	"ENSG00000090273"	"NUDC"	"protein_coding"
"56"	"ENSG00000090432"	"MUL1"	"protein_coding"
"57"	"ENSG00000090686"	"USP48"	"protein_coding"
"58"	"ENSG00000097021"	"ACOT7"	"protein_coding"
"59"	"ENSG00000107404"	"DVL1"	"protein_coding"
"60"	"ENSG00000116138"	"DNAJC16"	"protein_coding"
"61"	"ENSG00000116151"	"MORN1"	"protein_coding"
"62"	"ENSG00000116198"	"CEP104"	"protein_coding"
"63"	"ENSG00000116213"	"WRAP73"	"protein_coding"
"64"	"ENSG00000116237"	"ICMT"	"protein_coding"
"65"	"ENSG00000116251"	"RPL22"	"protein_coding"
"66"	"ENSG00000116254"	"CHD5"	"protein_coding"
"67"	"ENSG00000116273"	"PHF13"	"protein_coding"
"68"	"ENSG00000116285"	"ERRFI1"	"protein_coding"
"69"	"ENSG00000116288"	"PARK7"	"protein_coding"
"70"	"ENSG00000116329"	"OPRD1"	"protein_coding"
"71"	"ENSG00000116350"	"SRSF4"	"protein_coding"
"72"	"ENSG00000116353"	"MECR"	"protein_coding"
"73"	"ENSG00000116478"	"HDAC1"	"protein_coding"
"74"	"ENSG00000116497"	"S100PBP"	"protein_coding"
"75"	"ENSG00000116514"	"RNF19B"	"protein_coding"
"76"	"ENSG00000116649"	"SRM"	"protein_coding"
"77"	"ENSG00000116661"	"FBXO2"	"protein_coding"
"78"	"ENSG00000116663"	"FBXO6"	"protein_coding"
"79"	"ENSG00000116670"	"MAD2L2"	"protein_coding"
